id,name,location,num_watchers,language,newLanguage
9626183,atom,The Future,45772,CoffeeScript,javascript
18904813,electron,The Future,20115,C++,c++
9626384,atom-shell,The Future,5684,C++,c++
30246500,whitestorm.js,Global,4058,JavaScript,javascript
20893537,jupyter,The Future,3887,Python,python
24135534,lbry,"Alexandria, Egypt",3790,Python,python
19797023,notebook,The Future,3640,JavaScript,javascript
1936784,HMSegmentedControl,"Cairo, Egypt",3055,Objective-C,objective-c
613,Terasology,Global,2591,Java,java
22218658,docker-stacks,The Future,2530,Makefile,python
29912119,Sublist3r,Egypt,1945,Python,python
5389187,QGIS,Global,1841,C++,c++
7140,cpp-netlib,Global,1529,C++,c++
8555472,openaddresses,Global,1498,JavaScript,javascript
8518243,bitsquare,Global,1489,Java,java
9371451,apm,The Future,1203,CoffeeScript,javascript
