owner,name,fullName,numberOfStars,country,language
hakimel,reveal.js,hakimel/reveal.js,47859,se,JavaScript
grafana,grafana,grafana/grafana,30573,se,TypeScript
soimort,you-get,soimort/you-get,26596,se,Python
t4t5,sweetalert,t4t5/sweetalert,20198,se,TypeScript
tobiasahlin,SpinKit,tobiasahlin/SpinKit,16234,se,CSS
veggiemonk,awesome-docker,veggiemonk/awesome-docker,15807,se,
spotify,luigi,spotify/luigi,12118,se,Python
eriklindernoren,ML-From-Scratch,eriklindernoren/ML-From-Scratch,11983,se,Python
oblador,react-native-vector-icons,oblador/react-native-vector-icons,11713,se,JavaScript
akka,akka,akka/akka,10241,se,Scala
javve,list.js,javve/list.js,9584,se,JavaScript
davidsandberg,facenet,davidsandberg/facenet,8899,se,Python
perwendel,spark,perwendel/spark,8440,se,Java
erlang,otp,erlang/otp,7832,se,Erlang
hakimel,Ladda,hakimel/Ladda,7552,se,HTML
timescale,timescaledb,timescale/timescaledb,7470,se,C
grafana,loki,grafana/loki,6993,se,Go
oblador,react-native-animatable,oblador/react-native-animatable,6993,se,JavaScript
ubuwaits,beautiful-web-type,ubuwaits/beautiful-web-type,6930,se,HTML
varvet,pundit,varvet/pundit,6598,se,Ruby
ptomasroos,react-native-scrollable-tab-view,ptomasroos/react-native-scrollable-tab-view,6169,se,JavaScript
tictail,bounce.js,tictail/bounce.js,5948,se,CSS
spotify,annoy,spotify/annoy,5847,se,C++
eriklindernoren,Keras-GAN,eriklindernoren/Keras-GAN,5433,se,Python
loadimpact,k6,loadimpact/k6,5358,se,Go
Bogdan-Lyashenko,js-code-to-svg-flowchart,Bogdan-Lyashenko/js-code-to-svg-flowchart,5280,se,JavaScript
moxiecode,plupload,moxiecode/plupload,5240,se,JavaScript
daniel-lundin,snabbt.js,daniel-lundin/snabbt.js,5222,se,JavaScript
spotify,docker-gc,spotify/docker-gc,4997,se,Shell
hrydgard,ppsspp,hrydgard/ppsspp,4615,se,C++
dfahlander,Dexie.js,dfahlander/Dexie.js,4382,se,JavaScript
hakimel,stroll.js,hakimel/stroll.js,4237,se,HTML
eriklindernoren,PyTorch-GAN,eriklindernoren/PyTorch-GAN,3923,se,Python
Bogdan-Lyashenko,Under-the-hood-ReactJS,Bogdan-Lyashenko/Under-the-hood-ReactJS,3854,se,JavaScript
erming,shout,erming/shout,3778,se,JavaScript
hakimel,css,hakimel/css,3686,se,JavaScript
chrippa,livestreamer,chrippa/livestreamer,3680,se,Python
JoelBesada,activate-power-mode,JoelBesada/activate-power-mode,3565,se,CoffeeScript
soimort,translate-shell,soimort/translate-shell,3556,se,Awk
vinkla,hashids,vinkla/hashids,3486,se,PHP
edenhill,librdkafka,edenhill/librdkafka,3431,se,C
SteveLTN,https-portal,SteveLTN/https-portal,3295,se,Ruby
RobertGummesson,BuildTimeAnalyzer-for-Xcode,RobertGummesson/BuildTimeAnalyzer-for-Xcode,3103,se,Swift
marmelroy,PhoneNumberKit,marmelroy/PhoneNumberKit,3060,se,Swift
aziz,PlainTasks,aziz/PlainTasks,3059,se,Python
lindell,JsBarcode,lindell/JsBarcode,2942,se,JavaScript
AsynkronIT,protoactor-go,AsynkronIT/protoactor-go,2854,se,Go
JoelBesada,scrollpath,JoelBesada/scrollpath,2853,se,JavaScript
pahen,madge,pahen/madge,2786,se,JavaScript
maciekish,iReSign,maciekish/iReSign,2781,se,Objective-C
martenbjork,github-xp,martenbjork/github-xp,2741,se,
fisshy,react-scroll,fisshy/react-scroll,2643,se,JavaScript
johannilsson,android-pulltorefresh,johannilsson/android-pulltorefresh,2513,se,Java
esnme,ultrajson,esnme/ultrajson,2488,se,C
oblador,react-native-progress,oblador/react-native-progress,2475,se,JavaScript
eriklindernoren,PyTorch-YOLOv3,eriklindernoren/PyTorch-YOLOv3,2460,se,Python
schteppe,cannon.js,schteppe/cannon.js,2434,se,JavaScript
mridgers,clink,mridgers/clink,2411,se,C
danmar,cppcheck,danmar/cppcheck,2354,se,C++
madebybowtie,FlagKit,madebybowtie/FlagKit,2330,se,Swift
happi,theBeamBook,happi/theBeamBook,2316,se,Erlang
cake-build,cake,cake-build/cake,2309,se,C#
hakimel,Meny,hakimel/Meny,2303,se,JavaScript
kaishin,Gifu,kaishin/Gifu,2281,se,Swift
DanielRapp,doppler,DanielRapp/doppler,2280,se,JavaScript
Jahaja,psdash,Jahaja/psdash,2237,se,Python
marmelroy,Localize-Swift,marmelroy/Localize-Swift,2236,se,Swift
ptomasroos,react-native-tab-navigator,ptomasroos/react-native-tab-navigator,2233,se,JavaScript
oblador,react-native-lightbox,oblador/react-native-lightbox,2177,se,JavaScript
spotify,chartify,spotify/chartify,2176,se,Python
citerus,dddsample-core,citerus/dddsample-core,2174,se,Java
spotify,docker-maven-plugin,spotify/docker-maven-plugin,2162,se,Java
Bogdan-Lyashenko,codecrumbs,Bogdan-Lyashenko/codecrumbs,2158,se,JavaScript
JagCesar,iOS-blur,JagCesar/iOS-blur,2106,se,Objective-C
olov,ng-annotate,olov/ng-annotate,2088,se,JavaScript
