owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
Chalarangelo,30-seconds-of-code,Chalarangelo/30-seconds-of-code,21441,"Athens, Greece",gr,"JavaScript,HTML,Shell,Ruby",JavaScript,3682,https://api.github.com/users/Chalarangelo,https://api.github.com/repos/Chalarangelo/30-seconds-of-code/languages,https://api.github.com/repos/Chalarangelo/30-seconds-of-code/contributors
kataras,iris,kataras/iris,11459,Greece,gr,"Go,TypeScript,JavaScript,HTML,Dockerfile",Go,1367,https://api.github.com/users/kataras,https://api.github.com/repos/kataras/iris/languages,https://api.github.com/repos/kataras/iris/contributors
k4m4,movies-for-hackers,k4m4/movies-for-hackers,6726,"Athens, Greece",gr,Shell,Shell,354,https://api.github.com/users/k4m4,https://api.github.com/repos/k4m4/movies-for-hackers/languages,https://api.github.com/repos/k4m4/movies-for-hackers/contributors
k4m4,terminals-are-sexy,k4m4/terminals-are-sexy,6618,"Athens, Greece",gr,"Shell,Makefile",Shell,424,https://api.github.com/users/k4m4,https://api.github.com/repos/k4m4/terminals-are-sexy/languages,https://api.github.com/repos/k4m4/terminals-are-sexy/contributors
agis,git-style-guide,agis/git-style-guide,4124,"Athens, Greece",gr,,,90,https://api.github.com/users/agis,https://api.github.com/repos/agis/git-style-guide/languages,https://api.github.com/repos/agis/git-style-guide/contributors
malihu,malihu-custom-scrollbar-plugin,malihu/malihu-custom-scrollbar-plugin,3719,Greece,gr,"JavaScript,CSS",JavaScript,253,https://api.github.com/users/malihu,https://api.github.com/repos/malihu/malihu-custom-scrollbar-plugin/languages,https://api.github.com/repos/malihu/malihu-custom-scrollbar-plugin/contributors
dspinellis,unix-history-repo,dspinellis/unix-history-repo,2827,"Athens, Greece",gr,"Assembly,Coq,Limbo",Assembly,4,https://api.github.com/users/dspinellis,https://api.github.com/repos/dspinellis/unix-history-repo/languages,https://api.github.com/repos/dspinellis/unix-history-repo/contributors
kasketis,netfox,kasketis/netfox,2446,"Athens, Greece",gr,"Swift,Ruby,Objective-C",Swift,441,https://api.github.com/users/kasketis,https://api.github.com/repos/kasketis/netfox/languages,https://api.github.com/repos/kasketis/netfox/contributors
Chalarangelo,mini.css,Chalarangelo/mini.css,2409,"Athens, Greece",gr,CSS,CSS,967,https://api.github.com/users/Chalarangelo,https://api.github.com/repos/Chalarangelo/mini.css/languages,https://api.github.com/repos/Chalarangelo/mini.css/contributors
vorillaz,devicons,vorillaz/devicons,1992,"Athens, Greece",gr,CSS,CSS,56,https://api.github.com/users/vorillaz,https://api.github.com/repos/vorillaz/devicons/languages,https://api.github.com/repos/vorillaz/devicons/contributors
tyiannak,pyAudioAnalysis,tyiannak/pyAudioAnalysis,1709,"Athens, Greece",gr,"Python,Shell,HTML,CSS,Matlab",Python,434,https://api.github.com/users/tyiannak,https://api.github.com/repos/tyiannak/pyAudioAnalysis/languages,https://api.github.com/repos/tyiannak/pyAudioAnalysis/contributors
